Ranking (1) Tamaño  2021,Ranking (1) Tamaño 2020,Variación Ranking Tamaño 2020 - 2021,Nombre Grupo Económico,"Reporta sus BENEFICIARIOS EFECTIVOS 
(*)",No. de Integrantes domiciliados en PARAÍSOS FISCALES (**),No. de Integrantes y Empresas Offshore relacionadas con el Grupo Económico publicados en PANAMÁ PAPERS (***),"Personas 
Naturales (a)    ","Personas 
Extranjeras (b)    ","Sociedades 
Nacionales (c)","Sociedades 
Extranjeras (d)","Contribuyentes
 Especiales","Grandes 
Contribuyentes e 
Importancia 
Recaudatoria","Instituciones 
Financieras (2)","Medios de 
Comunicación (3)",Total Integrantes e=a+b+c+d,Ranking Contribución I.R. 2020,Ranking Contribución I.R. 2019,"Variación Ranking Contribución I.R. 
2019-2020",Impuesto a la Renta Causado (4) 2020,Total Ingresos 2020,Contribución   I.R. 2020,Impuesto a la Renta Causado (4) 2019,Total Ingresos 2019,Contribución   I.R. 2019,Variación Ingresos,Variación Impuesto a la Renta Causado,Variación Contribución  I.R. (2020-2019),Impuesto Causado ISD 2020,Impuesto Causado ISD 2019,Impuesto Causado IAE 2020 (5),Impuesto Causado IAE 2019 (5),"Total Activo 
(6) 2020","Total Activo 
(6) 2019",Total Patrimonio (7) 2020,"Total Patrimonio 
(7) 2019","
Total Recaudado (8) 2020","
Total Recaudado (8) 2019"
57,50,-7,"QUIPORT (QUIAMA, FIDEICOMISO MERCANTIL QUIPORT ONSHORE TRUST)",NO,4,0,0,0,6,12,2,1,,,6,286,300,14,0,"97,603,314",0.00%,0,"197,584,950",0.00%,-50.60%,#DIV/0!,0.00%,"31,274","2,369",0,0,"828,440,786","882,635,759","223,754,120","251,859,927","3,495,001","11,977,384"
58,59,1,"INTERAGUA (GADERE, VEOLIA ECUADOR)",PARCIALMENTE,0,0,1,0,18,4,2,1,,,19,60,66,6,"5,069,681","190,668,753",2.66%,"6,377,613","192,705,921",3.31%,-1.06%,-20.51%,-0.65%,"773,468","9,249",0,0,"619,863,848","589,873,617","346,713,828","336,962,758","9,546,774","13,358,149"
59,51,-8,"OMARSA (FIDEICOMISO SOLAR 88, AQUAPRO, HEROLD)",SI,0,0,4,0,9,2,1,1,,,13,208,263,55,"3,106,459","484,641,110",0.64%,"3,317,287","581,106,723",0.57%,-16.60%,-6.36%,0.07%,"584,461","19,077",0,0,"272,886,269","288,236,277","125,830,140","115,311,825","10,055,494","15,455,648"
60,55,-5,"BANCO SOLIDARIO (FIDEICOMISO OLLA DE ORO, FIDEICOMISO EN GARANTIA-MICROCREDITO DE EMERGENCIA, FIDEICOMISO EN GARANTIA CREDITO PRODUCTIVO)",SI,0,0,2,2,8,1,1,1,1,,12,251,51,-200,"565,370","154,751,561",0.37%,"6,496,438","163,507,526",3.97%,-5.36%,-91.30%,-3.61%,"162,645","1,370,644","700,128","716,984","770,820,514","822,217,467","158,624,190","156,869,475","20,987,813","26,122,127"
61,69,8,"EUROFISH (TRANSMARINA, INDUSTRIAL PESQUERA IBEROAMERICANA, TADEL, ELVAYKA KTOEI, PESQUERA ATUNES DEL PACIFICO, NEGOCIOS CAMPO GRANDE, SARDIPAC)",SI,0,2,8,0,39,0,10,2,,,47,121,95,-26,"4,838,634","332,647,923",1.45%,"7,145,177","297,798,967",2.40%,11.70%,-32.28%,-0.94%,"1,437,038","16,543",0,0,"397,061,306","401,450,107","239,967,819","221,919,314","8,617,456","9,549,193"
62,76,14,"FARMAENLACE (AVANTMED, ZONATRADE, ORCEVAL, DIDELSA, RED MEDICA, COMERCIALIZADORA ORTIESPINOSA, SURGICALMED, IT-EMPRESARIAL)",SI,0,0,12,0,43,0,5,1,,,55,98,112,14,"8,644,722","495,200,947",1.75%,"9,261,955","428,970,746",2.16%,15.44%,-6.66%,-0.41%,"401,953","270,164",0,0,"237,672,860","185,294,559","48,548,597","36,198,165","21,237,240","15,847,222"
63,67,4,"EDIMCA (ACOSA, ENDESA, BOTROSA, AUTEC, PROVEMUNDO, SETRAFOR, ADINSA,  SORNORMI, SERAGROFOREST, MENATLAS QUITO)",PARCIALMENTE,8,7,7,2,48,22,8,3,,,57,163,186,23,"2,000,792","206,435,161",0.97%,"3,218,693","244,688,802",1.32%,-15.63%,-37.84%,-0.35%,"3,720,182","392,529",0,0,"530,116,578","501,371,566","282,511,601","258,158,979","8,680,942","11,241,362"
64,66,2,"SURPAPEL (PROCARSA, SURPAPELCORP, REPAPERS, CARTONERA PICHINCHA, CARTONERA PICHINCHA, STUP)",PARCIALMENTE,0,10,5,2,29,5,5,2,,,36,254,214,-40,"852,717","252,026,230",0.34%,"3,167,259","294,950,624",1.07%,-14.55%,-73.08%,-0.74%,"1,518,072","92,070",0,0,"526,217,880","489,534,945","148,738,002","157,322,969","5,281,896","7,493,464"
65,63,-2,"DANEC (PALMERAS DE LOS ANDES, PALMERAS DEL ECUADOR, MURRIN CORPORATION, TATIANA, NEOCOSIDECO, SUMAPAZ, ECUAPALMA)",SI,0,3,0,3,19,36,7,3,,,22,258,247,-11,"899,430","329,939,984",0.27%,"2,632,772","364,415,450",0.72%,-9.46%,-65.84%,-0.45%,"5,154,930","18,057",0,0,"386,495,651","368,832,960","159,316,843","161,420,770","8,918,964","10,642,507"
66,58,-8,"THE TESALIA SPRINGS COMPANY (UNIVERSAL SWEET INDUSTRIES, PEPSICO ALIMENTOS ECUADOR, SCHOKOHOLDINGS)",PARCIALMENTE,26,3,0,28,13,81,4,3,,,41,223,211,-12,"1,780,293","324,887,208",0.55%,"4,247,389","388,124,406",1.09%,-16.29%,-58.09%,-0.55%,"6,347,111","111,682",0,0,"391,826,557","379,468,365","147,186,077","151,027,562","49,368,668","57,761,375"
67,61,-6,"MARATHON SPORTS (MEDEPORT, EQUINOX, INVESTA, ALLEGRO ECUADOR, FIBRAN, MILDEPORTES, TELESHOP, SHAMBALLA)",SI,4,8,1,0,35,6,9,3,,,36,221,212,-9,"1,421,288","248,125,655",0.57%,"3,892,242","358,261,570",1.09%,-30.74%,-63.48%,-0.51%,"5,106,318","2,712,242",0,0,"462,228,076","436,576,693","177,790,155","139,328,244","9,614,777","16,851,883"
68,56,-12,"PETRÓLEOS Y SERVICIOS PYS C.A. (ENERGYGAS S.A., MARCO SANCHEZ, ESTACION DE SERVICIOS ""SANCHEZ"", SCANEQ S.A.)",SI,0,0,21,0,22,0,3,1,,,43,274,296,22,"480,748","511,046,712",0.09%,"749,561","646,540,835",0.12%,-20.96%,-35.86%,-0.02%,"346,612",0,0,0,"57,938,439","59,036,047","21,889,613","21,616,394","8,838,206","10,504,754"
69,74,5,"ALMACENES LA GANGA (VICGRUP, INMOBILIARIA PERICONSTRUCT, ASANTECORP, PARRAGUESA, FLORDHARI, VIAPCOM)",SI,0,2,3,0,33,0,6,1,,,36,149,171,22,"2,209,863","198,272,625",1.11%,"3,477,593","245,727,131",1.42%,-19.31%,-36.45%,-0.30%,"2,404,514","236,619",0,0,"522,397,854","490,926,265","119,880,508","114,969,792","10,332,526","15,022,969"
70,99,29,"NUEVO RANCHO NURANSA (AGRICOLA BATAN, FIDEICOMISO GARANTIA AMERRA EMPAGRAN, FIDEICOMISO DE GARANTÍA LGS, FIDEICOMISO MERCANTIL RIOLAGO, FIDEICOMISO MERCANTIL ISLALAGO)",SI,7,7,1,1,20,10,0,0,,,22,172,1,-171,"6,401","769,821",0.83%,"629,741","3,894,036",16.17%,-80.23%,-98.98%,-15.34%,0,0,0,0,"682,140,511","446,431,611","366,063,461","291,393,563","646,587","300,124"
71,72,1,"IIASA IMPORTADORA INDUSTRIAL AGRÍCOLA (IASA-SERVICIO, MODERMAR, GOMILGROUP, IASA-TRANSPORTE, LUBRIVAL, LUBRIANSA)",SI,0,0,5,0,20,0,6,1,,,25,101,133,32,"3,236,956","190,619,140",1.70%,"4,610,361","246,653,423",1.87%,-22.72%,-29.79%,-0.17%,"8,086,570","1,608,935",0,0,"400,628,453","404,926,947","280,952,246","274,600,767","7,623,866","7,075,606"
72,68,-4,"EXPALSA (INTEDECAM, ECUACULTIVOS, PLUMONT, YEKATOP, CONSAVE, CIMINOCORP)",PARCIALMENTE,2,2,6,0,40,7,3,1,,,46,171,220,49,"2,940,183","350,932,421",0.84%,"5,030,608","494,820,985",1.02%,-29.08%,-41.55%,-0.18%,"695,841","64,253",0,0,"233,010,982","192,388,403","131,516,445","110,638,998","8,340,453","10,974,102"
73,54,-19,HALLIBURTON LATIN AMERICA (SERVICIOS PETROLEROS),NO,7,0,0,0,2,24,2,2,,,2,71,6,-65,"3,543,285","151,177,210",2.34%,"23,335,754","298,882,863",7.81%,-49.42%,-84.82%,-5.46%,"7,242,036","111,702",0,0,"522,205,926","672,884,814","146,100,465","151,347,073","33,114,025","26,342,764"
74,73,-1,"PLUSPETROL ECUADOR (AGIP GAS, ESAIN, TECNOESA)",PARCIALMENTE,0,0,0,1,5,3,3,2,,,6,59,15,-44,"5,015,449","188,564,792",2.66%,"17,189,592","254,167,022",6.76%,-25.81%,-70.82%,-4.10%,"944,349","54,635",0,0,"370,017,777","379,099,784","296,103,393","286,533,776","18,015,839","22,717,975"
75,81,6,"TECOPESCA (GRUPOVISION GVHOLDING, EMPACADORA BILBO, MANCORSACOM, CROPILETTO, TEVEMAS)",SI,0,0,5,0,44,0,5,1,,2,49,176,208,32,"1,563,190","194,327,874",0.80%,"2,160,800","195,797,499",1.10%,-0.75%,-27.66%,-0.30%,"596,559","61,301",0,0,"411,011,712","396,596,341","200,447,014","189,049,852","3,803,342","3,410,743"
76,75,-1,"HOTEL COLÓN (HOTEL HILTON COLON QUITO, MALAGAGROUP, HIDROSIGCHOS, DOSMILCORP, INTERFIBRA, HILTEXPOY, LANAFIT, ECUACOTTON, RIBEL)",SI,1,0,8,0,87,2,12,0,,,95,84,56,-28,"1,564,675","75,661,025",2.07%,"4,858,047","133,400,128",3.64%,-43.28%,-67.79%,-1.57%,"2,776,391","8,347",0,0,"520,224,447","515,212,226","314,440,430","294,875,831","4,398,662","8,588,882"
77,64,-13,"PLASTICAUCHO (E MAULME, PROAUTO, ECUATRAN, HIDROTAMBO, TEIMSA, VENUS,  DISTRISHOES, FAAUTO)",SI,0,0,15,2,35,2,9,4,1,,52,197,164,-33,"1,565,419","226,177,561",0.69%,"5,401,320","367,379,078",1.47%,-38.43%,-71.02%,-0.78%,"3,083,541","341,643",0,0,"341,024,099","363,984,532","175,210,567","184,232,649","10,359,165","14,539,928"
78,77,-1,"PICA PLÁSTICOS INDUSTRIALES (PYCCA, HOTEL ORO VERDE, INMOPICA - INMUEBLES PICA, UNICENTRO TURÍSTICO JABUCAM, GRUPO UNICENTRO UNIHOT, PRECONSA, ILPONTO)",SI,4,0,6,0,40,5,6,2,,,46,111,55,-56,"2,637,176","170,658,875",1.55%,"8,341,207","226,693,538",3.68%,-24.72%,-68.38%,-2.13%,"2,782,835","953,193","5,310","6,562","386,419,176","386,087,560","237,823,849","239,582,234","9,827,283","15,415,781"
79,78,-1,"NOVACERO (SWISSOTEL QUITO, AGRICOLAPUEMBO, INMOGRA, PRODAGUA)",SI,10,0,4,2,12,15,2,1,,,18,138,268,130,"2,691,186","221,997,828",1.21%,"1,453,023","276,462,895",0.53%,-19.70%,85.21%,0.69%,"9,090,336","607,201",0,0,"345,054,324","339,110,948","165,922,277","161,714,207","12,314,220","16,179,445"
80,71,-9,"CORPORACIÓN MARESA HOLDING (DISTRIVEHIC, ORGU COSTA, AVIS RENT A CAR, MARESACENTER, GLOBALMOTORS GLOBMOT SA, AUTOSDELSUR)",PARCIALMENTE,2,31,6,0,21,6,4,4,,,27,177,248,71,"1,626,180","202,397,340",0.80%,"2,284,437","319,971,055",0.71%,-36.75%,-28.81%,0.09%,"8,965,417","91,678",0,0,"346,985,917","377,136,252","158,614,088","150,963,925","7,804,353","10,874,844"
81,88,7,"MODERNA ALIMENTOS (MOLINOS CHAMPION MOCHASA, CONTISEA HOLDING, AGRÍCOLA SAN ANDRES DEL CHAUPI, NUTRADELI ECUADOR)",PARCIALMENTE,3,2,8,1,11,7,2,2,,,20,82,155,73,"5,393,387","258,794,320",2.08%,"4,182,054","250,766,849",1.67%,3.20%,28.97%,0.42%,"8,560,358","13,041",0,0,"255,862,887","242,345,466","180,874,275","194,652,149","7,816,945","4,001,680"
82,79,-3,"MAVESA (MOTOREC, RENPACIFSA, QUALITYSEG)",SI,0,0,1,0,11,0,2,1,1,,12,253,246,-7,"573,959","167,199,660",0.34%,"1,643,578","227,270,598",0.72%,-26.43%,-65.08%,-0.38%,"11,900,746","1,221,931",0,0,"360,675,050","379,157,972","199,654,579","193,224,592","3,695,487","6,952,718"
83,84,1,"HOLDINGDINE CORPORACIÓN INDUSTRIAL Y COMERCIAL (ANDEC, HOTEL MARRIOTT, EMSAAIRPORT SERVICES CEM, INMOSOLUCIÓN, EXPLOCEN, INAMAZONAS INMOBILIARIA)",NO,0,0,0,0,20,0,8,1,1,,20,174,128,-46,"1,091,862","133,543,996",0.82%,"2,820,290","148,742,494",1.90%,-10.22%,-61.29%,-1.08%,"1,537,423","82,986",0,0,"375,282,099","401,619,802","254,803,907","260,167,169","10,238,798","12,817,068"
84,93,9,"CORPORACIÓN SUPERIOR (GRUPO SUPERIOR, ALSUPERIOR, INSELESA, SERVINDINSA, ENSUPERIOR, SUPERLIQUORS)",SI,0,0,8,1,32,0,3,1,,,41,47,73,26,"6,490,222","217,275,688",2.99%,"6,474,015","210,262,001",3.08%,3.34%,0.25%,-0.09%,"6,254,855",243,0,0,"315,361,721","290,189,418","164,385,182","162,863,947","9,008,281","10,584,080"
85,87,2,CITIBANK N. A. SUCURSAL ECUADOR (CORPIFEXSA),NO,0,0,0,0,4,5,1,1,1,,4,2,5,3,"5,311,637","51,830,290",10.25%,"5,468,394","59,340,052",9.22%,-12.66%,-2.87%,1.03%,"556,713",0,"290,070","264,088","621,867,320","641,532,681","83,164,141","90,767,535","140,276,978","166,635,702"
86,85,-1,"CENTROS COMERCIALES DEL ECUADOR (IMPRENTA MARISCAL, CONDADO SHOPPING, INMODIAMANTE, IVAN BOHMAN C.A., CENTRO COMERCIAL IÑAQUITO, HOTEL DANN CARLTON, MUNDO FERRETERO)",PARCIALMENTE,0,11,3,13,54,34,9,2,,,70,73,96,23,"3,873,165","170,440,962",2.27%,"5,043,842","210,974,238",2.39%,-19.21%,-23.21%,-0.12%,"4,137,003","330,184",0,0,"374,809,475","372,724,770","158,033,988","157,062,947","10,197,009","10,295,230"
87,83,-4,"OCEANBAT (VEPAMIL, OCEANBAT, HISPANA DE SEGUROS, EXPODELTA, BIOFACTOR, HISPANOGROUP, ABATANGELO)",PARCIALMENTE,0,0,4,0,30,2,7,2,1,,34,239,230,-9,"1,110,545","256,738,977",0.43%,"2,917,447","317,111,497",0.92%,-19.04%,-61.93%,-0.49%,"2,513,321","55,609",14,57,"252,727,028","240,022,754","90,220,819","93,841,933","8,130,716","11,084,662"
88,90,2,"SALICA (GUAYATUNA, ZONA FRANCA DE POSORJA ZOFRAPORT, EMPACADORA DE TUNIDOS TUNAPAC, ECUANAÚTICA)",SI,0,0,0,14,10,9,2,2,,,24,288,299,11,0,"224,537,870",0.00%,"2,386","238,253,510",0.00%,-5.76%,-100.00%,0.00%,755,36,0,0,"248,603,016","252,223,658","146,434,994","147,042,282","6,209,289","12,164,676"
89,105,16,"ENAP SIPETROL (EOP OPERACIONES PETROLERAS, CONSORCIO BLOQUE 28)",NO,0,0,0,0,3,3,1,1,,,3,1,2,1,"22,856,067","190,258,139",12.01%,"26,384,610","192,461,604",13.71%,-1.14%,-13.37%,-1.70%,"36,051",0,0,0,"354,815,257","320,156,997","166,604,985","89,734,308","24,760,262","19,034,658"
90,94,4,"MEGA SANTAMARÍA (INMOBILIARIA INMOELMANA, FIDEICOMISO MERCANTIL VICENTINA)",SI,0,0,0,1,4,2,2,1,,,5,162,223,61,"3,045,086","312,040,210",0.98%,"3,019,644","317,515,632",0.95%,-1.72%,0.84%,0.02%,"193,441",0,0,0,"143,850,000","152,058,905","48,878,186","41,327,553","11,681,042","9,771,816"
91,102,11,"INDUSTRIA LOJANA DE ESPECERIAS ILE (COOPMEGO, GODOY RUIZ, S.I.M.E.G.O)",SI,0,0,7,0,14,0,4,0,,,21,124,110,-14,"1,753,727","125,454,029",1.40%,"2,490,487","114,656,365",2.17%,9.42%,-29.58%,-0.77%,"218,933","64,230",0,0,"425,656,133","394,118,084","81,746,983","76,504,650","6,620,053","5,237,512"
92,97,5,"CONSERVAS ISABEL (SEAFMAN, TADEL, INVER AUREA, IROTOP, SERVUS SHIPPING)",SI,1,2,1,6,8,13,3,2,,,15,132,173,41,"3,773,051","288,689,582",1.31%,"3,928,648","282,694,383",1.39%,2.12%,-3.96%,-0.08%,"1,354,208","86,738",0,0,"159,637,579","157,541,805","74,287,276","67,711,518","10,151,404","10,048,157"
93,89,-4,"CONTINENTAL TIRE ANDINA (TEDASA, NATIONALTIRE EXPERTS, SEGURILLANTA, ANDUJAR, TECNIGUAY, RENOVALLANTA, TECNILLANTA)",NO,0,0,0,0,13,9,9,1,,,13,183,189,6,"1,462,034","184,920,907",0.79%,"3,052,714","240,893,170",1.27%,-23.24%,-52.11%,-0.48%,"4,082,936","61,844",0,0,"251,273,724","264,767,321","151,802,674","155,074,508","9,935,102","10,896,544"
94,80,-14,"LATAM (LAN CARGO, LAN AIRLINES, AEROLINHAS BRASILEIRAS, LATAM AIRLINES PERU, LINEA AEREA CARGUERA DE COLOMBIA)",PARCIALMENTE,0,0,0,3,8,15,3,2,,,11,287,274,-13,0,"160,416,217",0.00%,"1,686,074","346,463,745",0.49%,-53.70%,-100.00%,-0.49%,"10,456,608","19,386",0,0,"324,700,330","284,883,292","76,055,718","44,890,580","11,840,911","20,410,090"
95,91,-4,"UNILEVER ANDINA ECUADOR (VISANUASA, DOMA, MARGA)",NO,0,0,0,0,2,4,1,1,,,2,25,47,22,"10,345,009","267,427,159",3.87%,"13,967,740","330,623,642",4.22%,-19.11%,-25.94%,-0.36%,"9,439,339","342,659",0,0,"164,144,034","182,897,811","62,175,819","55,257,555","37,836,248","51,139,979"
96,86,-10,"AMBACAR (CIAUTO, AUTOMEKANO, ARBORIENTE, MADEARQ)",SI,0,0,10,0,10,0,7,2,,,20,100,50,-50,"4,240,122","246,620,943",1.72%,"14,115,898","345,395,812",4.09%,-28.60%,-69.96%,-2.37%,"8,414,454","81,708",0,0,"173,110,688","182,802,627","90,279,924","82,525,456","17,224,490","22,601,933"
97,103,6,"ELECTROCABLES (TUBOS PACÍFICO, BOYACA, MINUTOCORP, PHARMACAPS, DOLTREX, CORPORACIÓN SICORPMATTRESS)",SI,0,0,22,0,77,0,5,2,,,99,248,244,-4,"520,712","139,870,967",0.37%,"1,008,307","138,477,608",0.73%,1.01%,-48.36%,-0.36%,"2,385,887","208,775","8,710","1,853","327,555,896","328,941,174","110,733,028","106,769,216","3,357,007","5,442,486"
98,95,-3,"GRAIMAN (TUBERÍA GALVANIZADA ECUATORIANA, INDUATENAS, INDUBUSINESS, HOLDING HOLDPRO, INDUGOLFO,  JUMILLA, PECALPA, VANDERBILT)",SI,1,20,8,0,27,18,5,1,1,,35,147,166,19,"1,553,061","137,846,140",1.13%,"2,359,858","161,879,692",1.46%,-14.85%,-34.19%,-0.33%,"2,798,640","716,814",0,0,"290,483,918","302,941,323","156,716,579","174,166,796","8,579,792","8,069,754"
99,100,1,"PROMARISCO (MEGASHAK, SOMBRACORP)",NO,0,0,0,0,4,6,2,1,,,4,160,222,62,"2,427,303","247,127,625",0.98%,"2,643,477","277,489,334",0.95%,-10.94%,-8.18%,0.03%,"1,577,504","27,304",0,0,"160,541,154","154,007,276","50,916,522","50,199,805","6,498,801","8,242,542"
100,82,-18,"IMBAUTO (VALLEJO ARAUJO, INMOBILIARIA CONSTRUHORIZON ECUADOR, OIL GROUP, CORPORACIÓN-WAY, LA PLAZASHOPP)",SI,0,0,6,0,34,2,5,2,,,40,250,266,16,"581,393","158,360,913",0.37%,"1,586,315","285,290,359",0.56%,-44.49%,-63.35%,-0.19%,"431,627","94,565",0,0,"264,895,212","297,628,511","85,912,280","95,898,843","8,976,257","8,620,689"
101,115,14,"UNIVERSIDAD DE LAS AMÉRICAS (SERVICIOS PROFESIONALES AD PORTAS, CORPORACIÓN CIENTÍFICO HUMANISTA UDLA)",PARCIALMENTE,1,0,0,1,4,21,2,0,,,5,244,281,37,"423,495","104,687,732",0.40%,"460,353","117,740,920",0.39%,-11.09%,-8.01%,0.01%,"900,875",790,0,0,"281,905,290","239,126,311","236,694,068","203,518,784","5,245,401","7,413,320"
102,123,21,BANCO PROCREDIT (FIDEICOMISO MERCANTIL DE GARANTÍA DEL FONDO DE LIQUIDEZ DEL SISTEMA FINANCIERO PRIVADO BANCO PROCREDIT),NO,0,0,0,0,2,1,1,1,1,,2,85,81,-4,"846,736","41,041,993",2.06%,"1,038,852","37,511,929",2.77%,9.41%,-18.49%,-0.71%,"101,872",0,"162,834","111,446","489,235,017","396,274,820","57,687,708","57,547,151","14,597,457","10,814,545"
103,109,6,"QUIFATEX (QSI, SAFIMO, VANTTIVE HEALTH SOLUTIONS)",PARCIALMENTE,1,0,1,2,5,10,3,1,,,8,166,199,33,"2,182,763","240,756,212",0.91%,"2,937,166","248,214,005",1.18%,-3.00%,-25.68%,-0.28%,"4,501,446","725,450",0,0,"154,257,652","146,028,126","57,146,481","53,983,636","5,061,131","6,550,587"
104,117,13,"ENVASES DEL LITORAL (PLASTICOS DEL LITORAL PLASTLIT, INVERSIONES GERMANIA, SIMOSA, IMPREDI, LITOMOVIL)",SI,8,0,3,2,22,10,2,2,,,27,114,148,34,"1,648,339","107,929,824",1.53%,"1,713,025","101,085,004",1.69%,6.77%,-3.78%,-0.17%,"2,353,017","243,985",0,0,"300,179,861","290,711,616","112,424,024","109,499,236","3,443,728","3,520,655"
105,107,2,"GRUPO PAPELERO GRUPASA (PAPELESA, AGPSA ALMACENES GENERALES DE PAPELES, PRAMERCI, IMPOFORM)",SI,0,2,3,0,10,0,4,2,,,13,86,99,13,"3,904,311","191,625,112",2.04%,"5,351,313","228,693,160",2.34%,-16.21%,-27.04%,-0.30%,"2,622,568","279,649",0,0,"173,265,027","174,206,548","113,318,089","96,080,299","4,434,857","7,501,071"
106,92,-14,"ITABSA INDUSTRIAS DEL TABACO ALIMENTOS Y BEBIDAS (PROESA, TANASA)",NO,0,0,0,0,3,6,3,3,,,3,142,183,41,"3,283,523","275,634,902",1.19%,"5,091,511","378,547,686",1.35%,-27.19%,-35.51%,-0.15%,"1,788,128","13,773",0,0,"81,494,796","97,942,042","21,711,890","18,401,374","91,657,294","134,128,206"
107,96,-11,"AYASA (FOTON DEL ECUADOR, AUTO INNOVACIÓN, TELEQUINOX)",SI,0,2,7,0,9,2,2,1,,4,16,267,232,-35,"259,621","175,274,808",0.15%,"2,311,220","256,172,048",0.90%,-31.58%,-88.77%,-0.75%,"9,934,549","95,097",0,0,"206,133,587","208,036,995","68,400,758","71,053,221","6,711,964","7,378,763"
108,118,10,"CONTECON GUAYAQUIL (LOGIPUERTO, LEKANSTAR)",SI,0,0,0,1,3,8,1,1,,,4,6,43,37,"8,601,540","114,222,023",7.53%,"4,910,575","112,362,309",4.37%,1.66%,75.16%,3.16%,"374,833","8,672",0,0,"274,568,993","265,654,360","146,561,773","124,998,326","10,010,166","7,262,274"
109,114,5,"GRUPO TVCABLE (SETEL, SATELCOM, SURATEL, GRUPO EMPRESARIAL STCT)",NO,0,0,0,0,8,2,4,1,,5,8,29,74,45,"4,187,793","124,194,773",3.37%,"4,610,230","150,460,052",3.06%,-17.46%,-9.16%,0.31%,"3,082,689","311,561",0,0,"249,676,165","253,018,281","129,735,508","119,204,980","29,222,333","31,259,177"
110,113,3,IPAC (DUFERCO PARTICIPATIONS HOLDING),PARCIALMENTE,2,0,0,2,1,5,1,1,,,3,87,158,71,"3,145,078","159,528,826",1.97%,"3,036,940","191,759,371",1.58%,-16.81%,3.56%,0.39%,"12,886,796","189,832",641,765,"198,959,836","197,111,602","111,165,748","102,614,977","1,276,955","991,250"
111,108,-3,"UNACEM ECUADOR (UNICON,CANTYVOL )",NO,0,0,0,0,6,4,3,1,,,6,10,20,10,"8,678,778","138,082,216",6.29%,"9,926,938","163,105,797",6.09%,-15.34%,-12.57%,0.20%,"1,586,251","3,911",0,0,"237,373,328","263,680,891","124,185,254","137,999,823","25,552,099","25,545,597"
112,122,10,"CONSORCIO CGGC FOPECA (CHINA GEZHOUBA GROUP, FOPECA, CONSUR R7H, GARDAEXPORT)",PARCIALMENTE,0,0,2,0,6,1,5,2,,,8,139,213,74,"1,091,063","90,133,841",1.21%,"1,016,509","93,995,236",1.08%,-4.11%,7.33%,0.13%,"168,711","3,322",0,0,"322,795,877","285,102,049","68,001,767","83,031,989","7,947,802","6,157,067"
113,124,11,CHUBB SEGUROS ECUADOR (CONSORCIO ACE-QBE),NO,0,0,0,0,2,6,1,1,,,2,21,48,27,"6,964,327","163,709,813",4.25%,"7,162,451","170,389,141",4.20%,-3.92%,-2.77%,0.05%,"2,393,434","2,985","1,867","1,804","204,080,459","180,565,590","76,791,836","54,081,617","23,127,904","18,730,213"
114,116,2,"INPROEL (INESA, SISELEC, ECUACABLE, DERMIGON DERIVADOS DE HORMIGON, EMECORP, PANELEC)",PARCIALMENTE,0,0,5,0,49,3,8,1,,,54,144,169,25,"1,453,814","127,162,720",1.14%,"2,284,936","158,314,291",1.44%,-19.68%,-36.37%,-0.30%,"2,603,141","174,177",0,0,"238,867,703","225,360,299","78,503,648","75,854,083","4,637,950","5,328,599"
115,98,-17,"CRECOSCORP (CRECOSA, MOTOSA, CSGCORP, PROTOS, COSTUREX, CONDICICOM , PUNTA CABUYA, VERANDA, CONELFURO)",PARCIALMENTE,1,0,3,0,16,2,2,1,,,19,256,90,-166,"322,218","111,569,313",0.29%,"5,090,392","201,371,429",2.53%,-44.60%,-93.67%,-2.24%,"2,198,401",203,0,0,"229,417,836","259,974,223","105,197,377","111,082,560","8,008,716","13,848,756"
116,119,3,"COPACIGULF (CABAQUI, INTEDECAM, EMCAMEX, GAMBIRASI, CAMARONERA CAMANMOR)",SI,0,0,3,0,23,0,4,0,,,26,143,115,-28,"2,134,803","182,876,766",1.17%,"4,472,818","213,814,446",2.09%,-14.47%,-52.27%,-0.92%,"40,166",0,0,0,"147,165,786","144,011,408","59,381,503","52,367,357","4,613,803","5,721,512"
117,112,-5,"TEOJAMA COMERCIAL (EL SALTO AGRICOLA E INDUSTRIAL, INMOBILIARIA TARQUI, SATRACK, LA MANSIÓN)",SI,0,3,2,0,8,0,1,1,,,10,105,136,31,"1,291,312","78,030,891",1.65%,"2,219,759","121,146,186",1.83%,-35.59%,-41.83%,-0.18%,"4,144,737","315,472",0,0,"255,049,055","277,307,382","134,787,336","149,028,740","3,943,590","4,617,699"
118,125,7,"CONCLINICA (HUMANA, FUNDACION METROFRATERNIDAD, METRORED)",SI,0,0,3,0,6,0,3,1,,,9,103,182,79,"2,581,097","153,954,964",1.68%,"2,178,132","161,672,150",1.35%,-4.77%,18.50%,0.33%,"74,411",341,0,0,"165,151,650","148,864,842","100,899,836","93,218,899","5,500,563","6,528,295"
119,104,-15,"ETAFASHION (TIENDEC, ETALI)",PARCIALMENTE,0,0,4,0,13,4,2,2,,,17,276,141,-135,"121,518","132,347,742",0.09%,"3,922,603","221,607,612",1.77%,-40.28%,-96.90%,-1.68%,"978,560","245,207",0,0,"228,837,478","239,749,042","35,552,373","37,774,038","9,880,526","14,776,963"
